# MJD	Densities (cm^3)
59000.835417	3.48
59000.836111	3.52
59000.836806	3.52
59000.837500	3.52
59000.838194	3.54
59000.838889	3.51
59000.839583	3.65
59000.840278	3.45
59000.840972	3.46
59000.841667	3.53
59000.842361	3.59
59000.843056	3.55
59000.843750	3.68
59000.844444	3.67
59000.845139	3.59
59000.845833	3.49
59000.846528	3.50
59000.847222	3.39
59000.847917	3.46
59000.848611	3.27
59000.849306	3.38
59000.850000	3.26
59000.850694	3.53
59000.851389	3.64
59000.852083	3.58
59000.852778	3.55
59000.853472	3.52
59000.854167	3.48
59000.854861	3.36
59000.855556	3.44
59000.856250	3.33
59000.856944	3.20
59000.857639	3.33
59000.858333	3.26
59000.859028	3.34
59000.859722	3.39
59000.860417	3.32
59000.861111	3.32
59000.861806	3.37
59000.862500	3.68
59000.863194	3.30
59000.863889	3.29
59000.864583	3.37
59000.865278	3.36
59000.865972	3.28
59000.866667	3.25
59000.867361	3.33
59000.868056	3.39
59000.868750	3.49
59000.869444	3.47
59000.870139	3.34
59000.870833	3.39
59000.871528	3.28
59000.872222	3.28
59000.872917	3.30
59000.873611	3.25
59000.874306	3.35
59000.875000	3.31
59000.875694	3.41
59000.876389	3.34
59000.877083	3.52
59000.877778	3.46
59000.878472	3.51
59000.879167	3.50
59000.879861	3.43
59000.880556	3.38
59000.881250	3.46
59000.881944	3.49
59000.882639	4.23
59000.883333	4.24
59000.884028	3.84
59000.884722	3.32
59000.885417	3.46
59000.886111	3.39
59000.886806	3.36
59000.887500	3.41
59000.888194	3.35
59000.888889	3.41
59000.889583	3.40
59000.890278	3.26
59000.890972	3.28
59000.891667	3.21
59000.892361	3.42
59000.893056	3.41
59000.893750	3.34
59000.894444	3.40
59000.895139	3.67
59000.895833	3.83
59000.896528	4.18
59000.897222	4.20
59000.897917	3.63
59000.898611	3.66
59000.899306	3.59
59000.900000	3.30
59000.900694	3.34
59000.901389	3.39
59000.902083	3.59
59000.902778	3.44
59000.903472	3.50
59000.904167	3.53
59000.904861	3.47
59000.905556	3.52
59000.906250	3.66
59000.906944	3.68
59000.907639	3.63
59000.908333	3.77
59000.909028	3.66
59000.909722	3.47
59000.910417	3.41
59000.911111	3.39
59000.911806	3.44
59000.912500	3.42
59000.913194	3.42
59000.913889	3.58
59000.914583	3.55
59000.915278	3.53
59000.915972	3.42
59000.916667	3.49
59000.917361	3.36
59000.918056	3.40
59000.918750	3.43
